Season,Age,Squad,Country,Competition,MinutesDividedBy90,Goals,Shots,ShotsOnTarget,ShotsOnTargetPercentage,ShotsPer90Minutes,ShotsOnTargetPer90Minutes,GoalsPerShot,GoalsPerShotOnTarget,AverageDistanceFromGoalOnShot,FreeKicks,PenalityKicks,PenalityKicksAttempted,ExpectedGoals,ExpectedNonPenalityGoals,ExpectedGoalsPerShot,DifferenceBetweenExpectedAndRealGoals,NonPenalityGoalsMinusExpectedNonPenalityGoals
2004-2005,16,Lyon,fr FRA,1. Ligue 1,1.2,0,,2,,,1.61,,0.00,,,0,0,,,,,
2005-2006,17,Lyon,,1. Champions Lg,1.0,1,,2,,,2.02,,0.50,,,0,0,,,,,
2005-2006,17,Lyon,fr FRA,1. Ligue 1,5.8,1,,6,,,1.04,,0.17,,,0,0,,,,,
2006-2007,18,Lyon,,1. Champions Lg,1.1,2,,3,,,2.67,,0.67,,,0,0,,,,,
2006-2007,18,Lyon,fr FRA,1. Ligue 1,12.8,5,,14,,,1.09,,0.29,,,1,1,,,,,
2007-2008,19,Lyon,,1. Champions Lg,6.6,4,,12,,,1.82,,0.33,,,0,0,,,,,
2007-2008,19,Lyon,fr FRA,1. Ligue 1,28.5,20,,49,,,1.72,,0.41,,,0,0,,,,,
2008-2009,20,Lyon,,1. Champions Lg,7.8,5,,14,,,1.79,,0.36,,,0,0,,,,,
2008-2009,20,Lyon,fr FRA,1. Ligue 1,30.6,17,,55,,,1.79,,0.27,,,2,4,,,,,
2009-2010,21,Real Madrid,,1. Champions Lg,3.5,1,,5,,,1.43,,0.20,,,0,0,,,,,
2009-2010,21,Real Madrid,es ESP,1. La Liga,14.6,8,,31,,,2.13,,0.26,,,0,0,,,,,
2010-2011,22,Real Madrid,,1. Champions Lg,4.1,6,,11,,,2.67,,0.55,,,0,0,,,,,
2010-2011,22,Real Madrid,es ESP,1. La Liga,21.1,15,,44,,,2.09,,0.34,,,0,0,,,,,
2011-2012,23,Real Madrid,,1. Champions Lg,8.4,7,,20,,,2.37,,0.35,,,0,0,,,,,
2011-2012,23,Real Madrid,es ESP,1. La Liga,24.9,21,,53,,,2.13,,0.40,,,0,0,,,,,
2012-2013,24,Real Madrid,,1. Champions Lg,5.9,5,,13,,,2.20,,0.38,,,0,0,,,,,
2012-2013,24,Real Madrid,es ESP,1. La Liga,19.7,11,,37,,,1.88,,0.30,,,0,0,,,,,
2013-2014,25,Real Madrid,,1. Champions Lg,10.1,5,,12,,,1.18,,0.42,,,0,0,,,,,
2013-2014,25,Real Madrid,es ESP,1. La Liga,30.4,17,,46,,,1.51,,0.37,,,0,0,,,,,
2014-2015,26,Real Madrid,,1. Champions Lg,7.4,6,,11,,,1.49,,0.55,,,0,0,,,,,
2014-2015,26,Real Madrid,es ESP,Copa del Rey,2.7,0,,,,,,,,,,0,0,,,,,
2014-2015,26,Real Madrid,es ESP,1. La Liga,25.3,15,,36,,,1.42,,0.42,,,0,0,,,,,
2014-2015,26,Real Madrid,,Super Cup,1.0,0,,,,,,,,,,0,0,,,,,
2015-2016,27,Real Madrid,,1. Champions Lg,6.7,4,,14,,,2.09,,0.29,,,0,0,,,,,
2015-2016,27,Real Madrid,es ESP,1. La Liga,21.9,24,,51,,,2.33,,0.47,,,0,0,,,,,
2016-2017,28,Real Madrid,,1. Champions Lg,10.6,5,37,18,48.6,3.49,1.70,0.14,0.28,,,0,0,,,,,
2016-2017,28,Real Madrid,es ESP,Copa del Rey,1.3,1,,,,,,,,,,0,0,,,,,
2016-2017,28,Real Madrid,es ESP,1. La Liga,21.1,11,69,37,53.6,3.27,1.75,0.16,0.30,,,0,0,,,,,
2016-2017,28,Real Madrid,,Super Cup,0.7,0,0,0,,0.00,0.00,,,,,0,0,,,,,
2017-2018,29,Real Madrid,,1. Champions Lg,6.7,5,18,11,61.1,2.70,1.65,0.28,0.45,,,0,0,,,,,
2017-2018,29,Real Madrid,es ESP,Copa del Rey,1.0,1,,,,,,,,,,0,0,,,,,
2017-2018,29,Real Madrid,es ESP,1. La Liga,23.9,5,57,15,26.3,2.39,0.63,0.05,0.20,12.7,0,2,2,10.5,9.0,0.16,-5.5,-6.0
2017-2018,29,Real Madrid,,Super Cup,0.9,0,1,1,100.0,1.10,1.10,0.00,0.00,,,0,0,,,,,
2017-2018,29,Real Madrid,es ESP,Supercopa de España,1.6,1,,,,,,,,,,0,0,,,,,
2018-2019,30,Real Madrid,,1. Champions Lg,6.5,4,20,8,40.0,3.09,1.24,0.20,0.50,12.3,0,0,0,2.0,2.0,0.10,+2.0,+2.0
2018-2019,30,Real Madrid,es ESP,Copa del Rey,5.0,4,19,9,47.4,3.77,1.78,0.21,0.44,,,0,0,,,,,
2018-2019,30,Real Madrid,es ESP,1. La Liga,32.8,21,99,41,41.4,3.02,1.25,0.18,0.44,13.5,0,3,3,15.7,13.5,0.14,+5.3,+4.5
2018-2019,30,Real Madrid,,Super Cup,1.3,1,2,2,100.0,1.50,1.50,0.50,0.50,,,0,0,,,,,
2019-2020,31,Real Madrid,,1. Champions Lg,7.2,5,31,14,45.2,4.33,1.96,0.16,0.36,12.0,0,0,0,5.5,5.5,0.18,-0.5,-0.5
2019-2020,31,Real Madrid,es ESP,Copa del Rey,2.0,1,8,3,37.5,3.96,1.48,0.13,0.33,,,0,0,,,,,
2019-2020,31,Real Madrid,es ESP,1. La Liga,34.9,21,118,54,45.8,3.38,1.55,0.14,0.30,14.6,1,5,5,17.4,13.6,0.12,+3.6,+2.4
2020-2021,32,Real Madrid,,1. Champions Lg,9.3,6,34,17,50.0,3.64,1.82,0.18,0.35,12.8,0,0,0,5.0,5.0,0.15,+1.0,+1.0
2020-2021,32,Real Madrid,es ESP,Copa del Rey,0.6,0,2,0,0.0,3.33,0.00,0.00,,,,0,0,,,,,
2020-2021,32,Real Madrid,es ESP,1. La Liga,32.2,23,122,50,41.0,3.79,1.55,0.18,0.44,15.1,6,1,1,17.8,17.0,0.14,+5.2,+5.0
2020-2021,32,Real Madrid,es ESP,Supercopa de España,1.0,1,3,2,66.7,3.10,2.07,0.33,0.50,,,0,0,,,,,
