Season,Age,Squad,Country,Competition,MinutesDividedBy90,PassCompleted,PassAttempted,PassCompletionPercentage,TotalDistanceTraveledByPasses,TotalProgressiveDistanceTraveledByPasses,ShortPassCompleted,ShortPassAttempted,ShortPassCompletedPercentage,MediumPassCompleted,MediumPassAttempted,MediumPassCompletedPercentage,LongPassCompleted,LongPassAttempted,LongPassCompletedPercentage,Assists,ExpectedAssists,DifferenceBetweenExpectedAndRealAssists,AssistedShot,CompletedPassReallyCloseToGoal,CompletedPassWithin18Yard,CompletedCrossWithin18Yard,CompletedProgressivePass
2009-2010,22,Tours,fr FRA,2. Ligue 2,36.9,,,,,,,,,,,,,,,
2010-2011,23,Montpellier,fr FRA,1. Ligue 1,32.3,,,,,,,,,,,,,,,3,,,,,,,
2011-2012,24,Montpellier,fr FRA,1. Ligue 1,35.5,,,,,,,,,,,,,,,9,,,,,,,
2012-2013,25,Arsenal,,1. Champions Lg,4.3,,,,,,,,,,,,,,,4,,,,,,,
2012-2013,25,Arsenal,eng ENG,1. Premier League,25.9,,,,,,,,,,,,,,,3,,,,,,,
2013-2014,26,Arsenal,,1. Champions Lg,7.0,,,,,,,,,,,,,,,1,,,,,,,
2013-2014,26,Arsenal,eng ENG,1. Premier League,34.1,,,,,,,,,,,,,,,8,,,,,,,
2014-2015,27,Arsenal,,1. Champions Lg,1.7,,,,,,,,,,,,,,,0,,,,,,,
2014-2015,27,Arsenal,eng ENG,FA Cup,2.6,,,,,,,,,,,,,,,0,,,,,,,
2014-2015,27,Arsenal,eng ENG,1. Premier League,20.7,,,,,,,,,,,,,,,3,,,,,,,
2015-2016,28,Arsenal,,1. Champions Lg,4.3,,,,,,,,,,,,,,,0,,,,,,,
2015-2016,28,Arsenal,eng ENG,Community Shield,0.3,,,,,,,,,,,,,,,0,,,,,,,
2015-2016,28,Arsenal,eng ENG,FA Cup,4.0,,,,,,,,,,,,,,,0,,,,,,,
2015-2016,28,Arsenal,eng ENG,League Cup,2.0,,,,,,,,,,,,,,,0,,,,,,,
2015-2016,28,Arsenal,eng ENG,1. Premier League,27.0,,,,,,,,,,,,,,,6,,,,,,,
2016-2017,29,Arsenal,,1. Champions Lg,3.5,,,,,,,,,,,,,,,1,,,,,,,
2016-2017,29,Arsenal,eng ENG,EFL Cup,0.3,,,,,,,,,,,,,,,1,,,,,,,
2016-2017,29,Arsenal,eng ENG,FA Cup,2.8,,,,,,,,,,,,,,,1,,,,,,,
2016-2017,29,Arsenal,eng ENG,1. Premier League,13.4,,,,,,,,,,,,,,,3,,,,,,,
2017-2018,30,Arsenal,eng ENG,Community Shield,0.6,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,30,Arsenal,eng ENG,EFL Cup,3.2,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,30,Arsenal,,2. Europa Lg,6.0,,,,,,,,,,,,,,,2,,,,,,,
2017-2018,30,Arsenal,eng ENG,1. Premier League,4.3,95,134,70.9,1070,140,62,84,73.8,18,28,64.3,2,3,66.7,1,0.9,+0.1,8,3,4,0,6
2017-2018,30,Chelsea,,1. Champions Lg,0.7,,,,,,,,,,,,,,,0,,,,,,,
2017-2018,30,Chelsea,eng ENG,FA Cup,2.8,,,,,,,,,,,,,,,2,,,,,,,
2017-2018,30,Chelsea,eng ENG,1. Premier League,6.8,142,218,65.1,1830,382,85,123,69.1,31,51,60.8,11,16,68.8,1,1.1,-0.1,12,9,6,0,13
2018-2019,31,Chelsea,eng ENG,EFL Cup,2.5,,,,,,,,,,,,,,,0,,,,,,,
2018-2019,31,Chelsea,,2. Europa Lg,12.5,228,311,73.3,2857,286,158,198,79.8,50,71,70.4,9,13,69.2,5,2.2,+2.8,17,9,4,0,9
2018-2019,31,Chelsea,eng ENG,FA Cup,0.1,,,,,,,,,,,,,,,1,,,,,,,
2018-2019,31,Chelsea,eng ENG,1. Premier League,9.4,174,251,69.3,2173,218,123,174,70.7,34,53,64.2,8,8,100.0,4,1.9,+2.1,16,5,6,0,11
2019-2020,32,Chelsea,,1. Champions Lg,1.0,16,26,61.5,256,26,10,15,66.7,5,6,83.3,1,1,100.0,0,0.0,0.0,1,2,0,0,2
2019-2020,32,Chelsea,eng ENG,FA Cup,2.7,,,,,,,,,,,,,,,1,,,,,,,
2019-2020,32,Chelsea,eng ENG,1. Premier League,11.0,207,306,67.6,2517,295,145,199,72.9,43,67,64.2,6,11,54.5,0,1.2,-1.2,7,8,4,0,6
2019-2020,32,Chelsea,,Super Cup,0.8,,,,,,,,,,,,,,,0,,,,,,,
2020-2021,33,Chelsea,,1. Champions Lg,2.9,58,73,79.5,661,84,32,36,88.9,16,22,72.7,1,2,50.0,0,0.1,-0.1,1,2,2,0,2
2020-2021,33,Chelsea,eng ENG,EFL Cup,1.0,,,,,,,,,,,,,,,0,,,,,,,
2020-2021,33,Chelsea,eng ENG,FA Cup,1.2,,,,,,,,,,,,,,,0,,,,,,,
2020-2021,33,Chelsea,eng ENG,1. Premier League,8.3,161,217,74.2,2002,251,111,145,76.6,29,41,70.7,8,8,100.0,0,0.7,-0.7,7,7,1,0,7
